#Parameters = {Rmesh=1; F=300000000; I=1; L_bunch=3.3333333333333; L_cutoff=3.3333333333333; L_offset=1.6666666666667; Ltar=10; Q=3.3333333333333e-009; Rcath=0.5; Rtar=10; RxRz=0.01; T=3.3333333333333e-009; Wo=30000; sigma=33.333333333333}
#"Z / cm"	"e-field (t=0..end(0.1)) (pic)_Z (Z)"
#----------------------------------------------
0.96613545816733	-973170.12500000
0.97609561752988	-956392.93750000
0.98605577689243	-939615.75000000
0.99601593625498	-922838.50000000
1.0059760956175	-906061.43750000
1.0159362549801	-889284.25000000
1.0258964143426	-871887.68750000
1.0358565737052	-853056.43750000
1.0458167330677	-834225.12500000
1.0557768924303	-815394.12500000
1.0657370517928	-796562.81250000
1.0756972111554	-777731.56250000
1.0856573705179	-758900.25000000
1.0956175298805	-740069.00000000
1.1055776892430	-721237.75000000
1.1155378486056	-702406.43750000
1.1254980079681	-683575.18750000
1.1354581673307	-664744.12500000
1.1454183266932	-645912.87500000
1.1553784860558	-627081.56250000
1.1653386454183	-608250.31250000
1.1752988047809	-589419.06250000
1.1852589641434	-570587.75000000
1.1952191235060	-551756.50000000
1.2051792828685	-532925.25000000
1.2151394422311	-514094.15625000
1.2250996015936	-498060.03125000
1.2350597609562	-487156.06250000
1.2450199203187	-476252.12500000
1.2549800796813	-465348.15625000
1.2649402390438	-454444.21875000
1.2749003984064	-443540.25000000
1.2848605577689	-432636.31250000
1.2948207171315	-421732.46875000
1.3047808764940	-410828.53125000
1.3147410358566	-399924.56250000
1.3247011952191	-389020.62500000
1.3346613545817	-378116.65625000
1.3446215139442	-367212.71875000
1.3545816733068	-356308.75000000
1.3645418326693	-345404.81250000
1.3745019920319	-334501.00000000
1.3844621513944	-323597.03125000
1.3944223107570	-312693.06250000
1.4043824701195	-301789.12500000
1.4143426294821	-290885.18750000
1.4243027888446	-281836.37500000
1.4342629482072	-275522.18750000
1.4442231075697	-269208.03125000
1.4541832669323	-262893.93750000
1.4641434262948	-256579.75000000
1.4741035856574	-250265.57812500
1.4840637450199	-243951.40625000
1.4940239043825	-237637.23437500
1.5039840637450	-231323.06250000
1.5139442231076	-225008.89062500
1.5239043824701	-218694.79687500
1.5338645418327	-212380.62500000
1.5438247011952	-206066.43750000
1.5537848605578	-199752.28125000
1.5637450199203	-193438.09375000
1.5737051792829	-187123.93750000
1.5836653386454	-180809.76562500
1.5936254980080	-174495.59375000
1.6035856573705	-168181.50000000
1.6135458167331	-161867.31250000
1.6235059760956	-157330.37500000
1.6334661354582	-154917.62500000
1.6434262948207	-152504.85937500
1.6533864541833	-150092.09375000
1.6633466135458	-147679.32812500
1.6733067729084	-145266.56250000
1.6832669322709	-142853.82812500
1.6932270916335	-140441.06250000
1.7031872509960	-138028.29687500
1.7131474103586	-135615.53125000
1.7231075697211	-133202.76562500
1.7330677290837	-130790.00000000
1.7430278884462	-128377.23437500
1.7529880478088	-125964.46875000
1.7629482071713	-123551.73437500
1.7729083665339	-121138.96875000
1.7828685258964	-118726.20312500
1.7928286852590	-116313.43750000
1.8027888446215	-113900.67187500
1.8127490039841	-111487.90625000
1.8227091633466	-110072.97656250
1.8326693227092	-109628.77343750
1.8426294820717	-109184.57812500
1.8525896414343	-108740.37500000
1.8625498007968	-108296.17968750
1.8725099601594	-107851.97656250
1.8824701195219	-107407.77343750
1.8924302788845	-106963.57031250
1.9023904382470	-106519.37500000
1.9123505976096	-106075.17187500
1.9223107569721	-105630.97656250
1.9322709163347	-105186.77343750
1.9422310756972	-104742.57031250
1.9521912350598	-104298.37500000
1.9621513944223	-103854.17187500
1.9721115537849	-103409.96875000
1.9820717131474	-102965.76562500
1.9920318725100	-102521.57031250
