#Parameters = {kz=-1; eps0=8.854e-012; rho=0.058284280917442; V=5.719094892935e-008; Q=3.3333333333333e-009; Lx=10; Ly=10; Lz=50; Rx=1.6; Ry=0.53333333333333; Rz=16; iy=0.1}
#"Z / mm"	"E-Field (Es)_Z (Z)_1"
#-------------------------------
0.32000000000000	14101.085937500
0.34666666666667	15246.164062500
0.37333333333333	16391.242187500
0.40000000000000	17536.318359375
0.42666666666667	18681.396484375
0.45333333333333	19826.474609375
0.48000000000000	20971.550781250
0.50666666666667	22110.339843750
0.53333333333333	23230.271484375
0.56000000000000	24350.199218750
0.58666666666667	25470.128906250
0.61333333333333	26590.060546875
0.64000000000000	27709.988281250
0.66666666666667	28829.919921875
0.69333333333334	29949.847656250
0.72000000000000	31069.777343750
0.74666666666667	32189.708984375
0.77333333333333	33306.351562500
0.80000000000000	34422.531250000
0.82666666666667	35538.707031250
0.85333333333334	36654.886718750
0.88000000000000	37771.062500000
0.90666666666667	38887.242187500
0.93333333333333	40003.417968750
0.96000000000000	41119.593750000
0.98666666666667	42235.773437500
1.0133333333333	43362.351562500
1.0400000000000	44499.332031250
1.0666666666667	45636.312500000
1.0933333333333	46773.289062500
1.1200000000000	47910.269531250
1.1466666666667	49047.246093750
1.1733333333333	50184.226562500
1.2000000000000	51321.207031250
1.2266666666667	52458.187500000
1.2533333333333	53600.558593750
1.2800000000000	54780.714843750
1.3066666666667	55960.863281250
1.3333333333333	57141.019531250
1.3600000000000	58321.171875000
1.3866666666667	59501.320312500
1.4133333333333	60681.472656250
1.4400000000000	61861.628906250
1.4666666666667	63041.781250000
1.4933333333333	64221.929687500
1.5200000000000	65414.007812500
1.5466666666667	66610.046875000
1.5733333333333	67806.101562500
1.6000000000000	69002.148437500
1.6266666666667	70198.187500000
1.6533333333333	71394.242187500
1.6800000000000	72590.281250000
1.7066666666667	73786.335937500
1.7333333333333	74982.375000000
1.7600000000000	76164.882812500
1.7866666666667	77324.812500000
1.8133333333333	78484.750000000
1.8400000000000	79644.679687500
1.8666666666667	80804.617187500
1.8933333333333	81964.546875000
1.9200000000000	83124.484375000
1.9466666666667	84284.414062500
1.9733333333333	85444.351562500
2.0000000000000	86604.281250000
2.0266666666667	87730.835937500
2.0533333333333	88857.390625000
2.0800000000000	89983.937500000
2.1066666666667	91110.492187500
2.1333333333333	92237.046875000
2.1600000000000	93363.601562500
2.1866666666667	94490.156250000
2.2133333333333	95616.703125000
2.2400000000000	96743.257812500
2.2666666666667	97869.460937500
2.2933333333333	98995.453125000
2.3200000000000	100121.44531250
2.3466666666667	101247.44531250
2.3733333333333	102373.43750000
2.4000000000000	103499.44531250
2.4266666666667	104625.43750000
2.4533333333333	105751.42968750
2.4800000000000	106877.42968750
2.5066666666667	108009.00781250
2.5333333333333	109157.34375000
2.5600000000000	110305.67968750
2.5866666666667	111454.00781250
2.6133333333333	112602.34375000
2.6400000000000	113750.69531250
2.6666666666667	114899.02343750
2.6933333333333	116047.36718750
2.7200000000000	117195.69531250
2.7466666666667	118344.02343750
2.7733333333333	119527.71875000
2.8000000000000	120716.46093750
2.8266666666667	121905.20312500
2.8533333333333	123093.93750000
2.8800000000000	124282.69531250
2.9066666666667	125471.42968750
2.9333333333333	126660.17968750
2.9600000000000	127848.91406250
2.9866666666667	129037.65625000
3.0133333333333	130237.72656250
