#Parameters = {kz=1; eps0=8.854e-012; rho=1.9428093639147; V=1.7157284678805e-009; Q=3.3333333333333e-009; Lx=10; Ly=10; Lz=50; Rx=1.6; Ry=1.6; Rz=0.16; iy=10}
#"Z / mm"	"E-Field (Es)_Z (Z)"
#-----------------------------
-46.568000000000	-72.940246582031
-46.560000000000	-73.022094726563
-46.552000000000	-73.103981018066
-46.544000000000	-73.185829162598
-46.536000000000	-73.267677307129
-46.528000000000	-73.349525451660
-46.520000000000	-73.431373596191
-46.512000000000	-73.513221740723
-46.504000000000	-73.595069885254
-46.496000000000	-73.681915283203
-46.488000000000	-73.771026611328
-46.480000000000	-73.860137939453
-46.472000000000	-73.949249267578
-46.464000000000	-74.038352966309
-46.456000000000	-74.127464294434
-46.448000000000	-74.216575622559
-46.440000000000	-74.305732727051
-46.432000000000	-74.394836425781
-46.424000000000	-74.483947753906
-46.416000000000	-74.573059082031
-46.408000000000	-74.662170410156
-46.400000000000	-74.751281738281
-46.392000000000	-74.840431213379
-46.384000000000	-74.929542541504
-46.376000000000	-75.018653869629
-46.368000000000	-75.107765197754
-46.360000000000	-75.196876525879
-46.352000000000	-75.285980224609
-46.344000000000	-75.375091552734
-46.336000000000	-75.464248657227
-46.328000000000	-75.553359985352
-46.320000000000	-75.642463684082
-46.312000000000	-75.731575012207
-46.304000000000	-75.820686340332
-46.296000000000	-75.909797668457
-46.288000000000	-75.998947143555
-46.280000000000	-76.088058471680
-46.272000000000	-76.177169799805
-46.264000000000	-76.266281127930
-46.256000000000	-76.355392456055
-46.248000000000	-76.447860717773
-46.240000000000	-76.544502258301
-46.232000000000	-76.641197204590
-46.224000000000	-76.737838745117
-46.216000000000	-76.834480285645
-46.208000000000	-76.931121826172
-46.200000000000	-77.027770996094
-46.192000000000	-77.124412536621
-46.184000000000	-77.221099853516
-46.176000000000	-77.317741394043
-46.168000000000	-77.414390563965
-46.160000000000	-77.511032104492
-46.152000000000	-77.607673645020
-46.144000000000	-77.704315185547
-46.136000000000	-77.800964355469
-46.128000000000	-77.897651672363
-46.120000000000	-77.994293212891
-46.112000000000	-78.090934753418
-46.104000000000	-78.187583923340
-46.096000000000	-78.284225463867
-46.088000000000	-78.380867004395
-46.080000000000	-78.477508544922
-46.072000000000	-78.574203491211
-46.064000000000	-78.670845031738
-46.056000000000	-78.767486572266
-46.048000000000	-78.864128112793
-46.040000000000	-78.960777282715
-46.032000000000	-79.057418823242
-46.024000000000	-79.154106140137
-46.016000000000	-79.250747680664
-46.008000000000	-79.347396850586
-46.000000000000	-79.445671081543
-45.992000000000	-79.550140380859
-45.984000000000	-79.654609680176
-45.976000000000	-79.759086608887
-45.968000000000	-79.863601684570
-45.960000000000	-79.968078613281
-45.952000000000	-80.072547912598
-45.944000000000	-80.177017211914
-45.936000000000	-80.281486511230
-45.928000000000	-80.385955810547
-45.920000000000	-80.490478515625
-45.912000000000	-80.594947814941
-45.904000000000	-80.699417114258
-45.896000000000	-80.803894042969
-45.888000000000	-80.908363342285
-45.880000000000	-81.012832641602
-45.872000000000	-81.117301940918
-45.864000000000	-81.221824645996
-45.856000000000	-81.326293945313
-45.848000000000	-81.430763244629
-45.840000000000	-81.535240173340
-45.832000000000	-81.639709472656
-45.824000000000	-81.744178771973
-45.816000000000	-81.848648071289
-45.808000000000	-81.953170776367
-45.800000000000	-82.057640075684
-45.792000000000	-82.162109375000
-45.784000000000	-82.266578674316
-45.776000000000	-82.371055603027
-45.768000000000	-82.475524902344
-45.760000000000	-82.580047607422
-45.752000000000	-82.684516906738
-45.744000000000	-82.796905517578
-45.736000000000	-82.909515380859
-45.728000000000	-83.022132873535
-45.720000000000	-83.134750366211
-45.712000000000	-83.247367858887
-45.704000000000	-83.360038757324
-45.696000000000	-83.472656250000
-45.688000000000	-83.585273742676
-45.680000000000	-83.697883605957
-45.672000000000	-83.810501098633
-45.664000000000	-83.923118591309
-45.656000000000	-84.035789489746
-45.648000000000	-84.148406982422
-45.640000000000	-84.261024475098
-45.632000000000	-84.373641967773
-45.624000000000	-84.486251831055
-45.616000000000	-84.598869323730
-45.608000000000	-84.711486816406
-45.600000000000	-84.824157714844
-45.592000000000	-84.936775207520
-45.584000000000	-85.049392700195
-45.576000000000	-85.162010192871
-45.568000000000	-85.274620056152
-45.560000000000	-85.387237548828
-45.552000000000	-85.499908447266
-45.544000000000	-85.612525939941
-45.536000000000	-85.725143432617
-45.528000000000	-85.837760925293
-45.520000000000	-85.950378417969
-45.512000000000	-86.062988281250
-45.504000000000	-86.175605773926
-45.496000000000	-86.294517517090
-45.488000000000	-86.415626525879
-45.480000000000	-86.536735534668
-45.472000000000	-86.657836914063
-45.464000000000	-86.778945922852
-45.456000000000	-86.900054931641
-45.448000000000	-87.021156311035
-45.440000000000	-87.142318725586
-45.432000000000	-87.263427734375
-45.424000000000	-87.384536743164
-45.416000000000	-87.505638122559
-45.408000000000	-87.626747131348
-45.400000000000	-87.747848510742
-45.392000000000	-87.869018554688
-45.384000000000	-87.990119934082
-45.376000000000	-88.111228942871
-45.368000000000	-88.232330322266
-45.360000000000	-88.353439331055
-45.352000000000	-88.474548339844
-45.344000000000	-88.595649719238
-45.336000000000	-88.716812133789
-45.328000000000	-88.837921142578
-45.320000000000	-88.959030151367
-45.312000000000	-89.080131530762
-45.304000000000	-89.201240539551
-45.296000000000	-89.322341918945
-45.288000000000	-89.443511962891
-45.280000000000	-89.564613342285
-45.272000000000	-89.685722351074
-45.264000000000	-89.806831359863
-45.256000000000	-89.927932739258
-45.248000000000	-90.053451538086
-45.240000000000	-90.183418273926
-45.232000000000	-90.313438415527
-45.224000000000	-90.443405151367
-45.216000000000	-90.573371887207
-45.208000000000	-90.703338623047
-45.200000000000	-90.833297729492
-45.192000000000	-90.963264465332
-45.184000000000	-91.093292236328
-45.176000000000	-91.223258972168
-45.168000000000	-91.353225708008
-45.160000000000	-91.483184814453
-45.152000000000	-91.613151550293
-45.144000000000	-91.743118286133
-45.136000000000	-91.873085021973
-45.128000000000	-92.003105163574
-45.120000000000	-92.133071899414
-45.112000000000	-92.263038635254
-45.104000000000	-92.393005371094
-45.096000000000	-92.522964477539
-45.088000000000	-92.652931213379
-45.080000000000	-92.782897949219
-45.072000000000	-92.912925720215
-45.064000000000	-93.042892456055
-45.056000000000	-93.172851562500
-45.048000000000	-93.302818298340
-45.040000000000	-93.432785034180
-45.032000000000	-93.562744140625
-45.024000000000	-93.692771911621
-45.016000000000	-93.822738647461
-45.008000000000	-93.952705383301
-45.000000000000	-94.085090637207
-44.992000000000	-94.224304199219
-44.984000000000	-94.363525390625
-44.976000000000	-94.502746582031
-44.968000000000	-94.642036437988
-44.960000000000	-94.781250000000
-44.952000000000	-94.920471191406
-44.944000000000	-95.059692382813
-44.936000000000	-95.198913574219
-44.928000000000	-95.338134765625
-44.920000000000	-95.477416992188
-44.912000000000	-95.616638183594
-44.904000000000	-95.755859375000
-44.896000000000	-95.895080566406
-44.888000000000	-96.034301757813
-44.880000000000	-96.173515319824
-44.872000000000	-96.312736511230
-44.864000000000	-96.452026367188
