#Parameters = {kz=1; eps0=8.854e-012; rho=1.9428093639147; V=1.7157284678805e-009; Q=3.3333333333333e-009; Lx=10; Ly=10; Lz=50; Rx=1.6; Ry=1.6; Rz=0.16; iy=10}
#"Y / mm"	"E-Field (Es)_Y (Y)"
#-----------------------------
-6.2400000000000	-848088.75000000
-6.2320000000000	-850041.12500000
-6.2240000000000	-851993.50000000
-6.2160000000000	-853945.81250000
-6.2080000000000	-855898.18750000
-6.2000000000000	-857850.68750000
-6.1920000000000	-859803.00000000
-6.1840000000000	-861755.37500000
-6.1760000000000	-863707.75000000
-6.1680000000000	-865660.06250000
-6.1600000000000	-867612.56250000
-6.1520000000000	-869564.93750000
-6.1440000000000	-871517.25000000
-6.1360000000000	-873469.62500000
-6.1280000000000	-875422.06250000
-6.1200000000000	-877374.43750000
-6.1120000000000	-879326.81250000
-6.1040000000000	-881279.12500000
-6.0960000000000	-883231.50000000
-6.0880000000000	-885184.00000000
-6.0800000000000	-887136.31250000
-6.0720000000000	-889088.68750000
-6.0640000000000	-891277.87500000
-6.0560000000000	-893522.93750000
-6.0480000000000	-895768.06250000
-6.0400000000000	-898013.12500000
-6.0320000000000	-900258.18750000
-6.0240000000000	-902503.18750000
-6.0160000000000	-904748.37500000
-6.0080000000000	-906993.43750000
-6.0000000000000	-909238.43750000
-5.9920000000000	-911483.50000000
-5.9840000000000	-913728.56250000
-5.9760000000000	-915973.68750000
-5.9680000000000	-918218.75000000
-5.9600000000000	-920463.81250000
-5.9520000000000	-922708.81250000
-5.9440000000000	-924954.00000000
-5.9360000000000	-927199.06250000
-5.9280000000000	-929444.06250000
-5.9200000000000	-931689.12500000
-5.9120000000000	-933934.12500000
-5.9040000000000	-936179.31250000
-5.8960000000000	-938424.37500000
-5.8880000000000	-940669.37500000
-5.8800000000000	-942914.43750000
-5.8720000000000	-945159.50000000
-5.8640000000000	-947404.68750000
-5.8560000000000	-949649.68750000
-5.8480000000000	-951894.75000000
-5.8400000000000	-954139.75000000
-5.8320000000000	-956384.93750000
-5.8240000000000	-958667.87500000
-5.8160000000000	-961257.93750000
-5.8080000000000	-963848.00000000
-5.8000000000000	-966438.06250000
-5.7920000000000	-969028.31250000
-5.7840000000000	-971618.37500000
-5.7760000000000	-974208.43750000
-5.7680000000000	-976798.50000000
-5.7600000000000	-979388.56250000
-5.7520000000000	-981978.75000000
-5.7440000000000	-984568.81250000
-5.7360000000000	-987158.87500000
-5.7280000000000	-989748.93750000
-5.7200000000000	-992339.18750000
-5.7120000000000	-994929.25000000
-5.7040000000000	-997519.31250000
-5.6960000000000	-1000109.3750000
-5.6880000000000	-1002699.4375000
-5.6800000000000	-1005289.6875000
