x[cm]	x'[mrad]            y[cm]           y'[mrad]		
-0.06292	0.0068561	0.10698	-0.013925
0.03348	0.047427	-0.04645	0.0051201
0.02032	-0.01967	-0.09035	-0.010671
-0.09135	-0.024654	0.00072834	-0.037652
-0.0967	0.042904	-0.03888	0.0013551
-0.05277	-0.038031	0.00566	-0.030868
-0.02332	0.0097477	-0.00442	0.035812
0.01516	-0.00018053	-0.08713	0.030544
0.11193	0.0033831	-0.04357	0.0042373
0.06617	-0.022322	0.08987	-0.026918
-0.02365	-0.026013	-0.06848	0.01032
-0.07177	0.038679	-0.05866	0.010494
0.05265	0.01018	0.06526	0.0049156
0.07782	-0.0023418	0.12255	-0.026891
0.09689	-0.0043357	0.09296	0.0072768
-0.03721	0.0081005	0.08082	0.0096305
0.08356	-0.010463	0.02373	0.041995
0.08253	0.039574	-0.01117	-0.0051102
0.00671	-0.021296	0.03136	-0.029129
-0.03109	0.020278	0.0481	0.0067804
0.07951	0.0048668	-0.02381	0.025298
0.11183	0.018998	-0.02441	0.025033
0.0181	-0.0037754	-0.03803	-0.034652
-0.05422	-0.0276	0.07472	0.0038212
0.02642	-0.032316	-0.01397	-0.0085032
0.06234	0.02466	-0.05533	0.010807
0.05336	0.0004828	-0.03106	-0.033686
-0.06629	0.01908	0.09361	0.014006
0.00244	-0.012399	-0.11433	0.015603
0.06468	-0.02935	-0.00769	-0.022362
0.11345	-0.031315	0.06484	-0.010166
-0.08966	-0.012919	0.05533	0.0012766
-0.02496	-0.035613	0.04506	-0.0031334
-0.03812	0.012961	0.06397	0.023715
0.05754	0.037209	-0.0409	0.0095285
-0.11433	0.030655	0.05209	-0.015068
0.11616	0.0046209	-0.06931	0.020748
-0.01219	-0.044157	-0.01782	0.014439
-0.02224	0.037495	0.03615	-0.032641
-0.14828	0.012278	0.00705	-0.017374
0.04306	0.028455	-0.02532	0.036009
-0.11624	-0.014066	-0.03319	0.021607
0.06179	0.0051329	0.03856	0.0074842
-0.10973	-0.026971	0.04096	-0.0048139
-0.01683	0.0015796	-0.15575	0.011941
0.0635	0.022019	0.01328	0.030064
0.1256	0.0091581	-0.01573	0.0031786
0.02203	0.000928	0.04547	-0.028796
-0.06784	0.019364	0.06109	-0.017658
-0.10685	-0.021183	0.08727	-0.013912
-0.08586	0.042091	0.04724	0.0078825
-0.0367	-0.028688	-0.05871	-0.021878
0.09409	0.008812	-0.10603	-0.017568
-0.00274	0.0062183	0.00672	0.021229
0.05274	-0.005739	0.12118	-0.010387
-0.01631	-0.018865	0.05315	0.027473
-0.03199	-0.045606	0.03286	-0.010634
0.00747	-0.025383	-0.00135	0.018141
0.03958	-0.049017	0.00023913	0.0040866
-0.02688	-0.019716	-0.08416	-0.036449
-0.00854	-0.0013362	0.07634	-0.019818
