 Nseed      iq         dt[nsec]           dW[MeV]           x[cm]           x'[mrad]            y[cm]           y'[mrad]  
      0      1      -0.36304E-01      -0.12561E-07      -0.35549E-02       0.69918E+01      -0.61793E-01      -0.48205E+02
      0      1      -0.35455E-01       0.22610E-07       0.92559E-01       0.33164E+01      -0.63571E-01       0.83679E+01
      0      1      -0.43362E-01      -0.16668E-07      -0.85105E-01       0.15716E+02       0.85010E-01       0.74071E+01
      0      1       0.43065E-01      -0.69938E-08      -0.58680E-01       0.31456E+02       0.28972E-01       0.39842E+02
      0      1      -0.21840E-01      -0.22463E-07      -0.53220E-01       0.15397E+02       0.44942E-01       0.23454E+02
      0      1      -0.11017E-01       0.22164E-09      -0.77722E-01      -0.25794E+02      -0.49607E-01      -0.17954E+01
      0      1       0.26740E-01      -0.15319E-07      -0.18254E-01       0.16177E+02      -0.45605E-01       0.48754E+02
      0      1       0.51926E-02       0.28638E-08       0.44163E-01      -0.38480E+01      -0.27476E-01      -0.54695E+01
      0      1       0.20415E-01       0.67357E-08      -0.11070E+00      -0.11464E+02      -0.68893E-01       0.23934E+02
      0      1       0.41647E-01      -0.29152E-08      -0.29742E-01      -0.13185E+02      -0.24709E-01       0.26617E+02
      0      1       0.26217E-04      -0.10136E-07      -0.42773E-01      -0.21413E+01      -0.11579E+00      -0.34223E+02
      0      1      -0.80197E-02      -0.21059E-07       0.13080E+00      -0.23382E+02       0.66674E-01       0.10794E+02
      0      1       0.36164E-01      -0.18019E-07      -0.19277E-01      -0.37098E+02      -0.57133E-01       0.17810E+02
      0      1      -0.90049E-02      -0.24048E-08       0.82644E-01      -0.31266E+01      -0.49747E-01      -0.73248E+01
      0      1      -0.44396E-01       0.64227E-08      -0.86854E-01       0.11251E+02      -0.93348E-02       0.13612E+02
      0      1      -0.12922E-01      -0.14740E-07      -0.63779E-01      -0.40906E+02      -0.42057E-01       0.53546E+00
      0      1       0.31078E-01       0.27480E-08      -0.32365E-01      -0.16316E+02       0.71845E-01       0.45006E+02
      0      1       0.18046E-01      -0.14158E-07       0.12754E-02       0.22050E+02      -0.97431E-01      -0.34249E+02
      0      1      -0.35255E-01      -0.53739E-10       0.49168E-01      -0.96576E+01      -0.12571E+00       0.20063E+02
      0      1      -0.18961E-01       0.24322E-07      -0.48738E-01      -0.31216E+02       0.45135E-01      -0.97558E+01
      0      1      -0.31531E-01      -0.50053E-08       0.74345E-01       0.25859E+02      -0.91630E-02      -0.25332E+02
      0      1      -0.27595E-01       0.20950E-07       0.57428E-01      -0.35084E+02       0.32547E-02      -0.19173E+02
      0      1      -0.12929E-01      -0.24724E-07       0.41794E-01      -0.28543E+02      -0.56116E-01       0.36368E+02
      0      1      -0.11097E-01       0.24304E-07      -0.92352E-01       0.39646E+02      -0.20602E-01      -0.11067E+01
      0      1      -0.33432E-01       0.15744E-07      -0.80922E-01      -0.32151E+02      -0.29843E-01      -0.21948E+02
      0      1       0.22322E-01      -0.11511E-07      -0.35025E-01      -0.60714E+00       0.10567E+00       0.14272E+02
      0      1       0.45101E-01       0.14851E-07       0.50176E-01      -0.39728E+02      -0.90872E-01      -0.13996E+02
      0      1      -0.20036E-01       0.23563E-07      -0.56368E-01      -0.39547E+02       0.27018E-01      -0.34580E+00
      0      1      -0.37840E-01       0.83739E-08       0.57634E-01       0.54163E+01      -0.33280E-01      -0.22624E+02
      0      1      -0.35949E-01      -0.10619E-07       0.12470E+00       0.16859E+02      -0.58444E-01       0.15904E+02
      0      1       0.49062E-02      -0.23663E-07       0.83896E-01      -0.20540E+01      -0.59226E-01      -0.21985E+02
      0      1       0.42871E-01       0.14544E-07      -0.85800E-01       0.17595E+02      -0.10275E-01      -0.20651E+02
      0      1       0.31651E-01       0.50999E-08      -0.18359E-01      -0.15823E+02      -0.10996E+00      -0.32095E+01
      0      1      -0.48496E-02      -0.93286E-08      -0.78474E-01      -0.51863E+01      -0.57888E-01       0.13946E+02
      0      1       0.57883E-02       0.14881E-07       0.92307E-02      -0.40268E+02       0.92122E-01       0.55034E+01
      0      1       0.30136E-01       0.19728E-07       0.64708E-01       0.17067E+02       0.69745E-01      -0.33532E+02
      0      1       0.16274E-01      -0.13159E-07       0.10052E-01      -0.50913E+01       0.59148E-01       0.29000E+02
      0      1       0.38972E-01       0.24102E-07      -0.35191E-01      -0.43317E+02      -0.66218E-01      -0.15380E+02
      0      1       0.15039E-01       0.19853E-07       0.81765E-01      -0.28395E+02       0.42457E-01       0.11298E+02
      0      1       0.29983E-01       0.17938E-07       0.84571E-01      -0.53508E+01      -0.44507E-02      -0.33089E+01
      0      1      -0.18216E-01       0.31327E-08       0.21927E-02       0.41342E+02       0.12834E-01      -0.11006E+01
      0      1      -0.42317E-01       0.12393E-07      -0.53103E-01       0.20797E+01       0.17269E-01       0.30002E+02
      0      1       0.40330E-01       0.25103E-07      -0.12673E+00       0.51575E+01      -0.59954E-01       0.15068E+02
      0      1      -0.26903E-01       0.15758E-07       0.34024E-01      -0.39739E+02       0.14085E-01       0.26294E+00
      0      1      -0.89297E-02      -0.13417E-07       0.21758E-01       0.25991E+02      -0.26505E-01      -0.17993E+02
      0      1      -0.34553E-01      -0.16847E-07      -0.10819E+00      -0.23131E+00       0.23585E-01       0.20248E+02
      0      1      -0.16050E-01       0.12223E-07       0.38010E-01       0.32519E+02      -0.11318E+00      -0.62988E+01
      0      1      -0.30677E-02      -0.23994E-07      -0.27316E-01      -0.39327E+00      -0.12927E+00       0.16542E+02
      0      1      -0.38875E-01       0.15512E-07      -0.13073E-01      -0.48601E+01       0.29687E-01       0.35161E+02
      0      1       0.13296E-03       0.19860E-07       0.20461E-01      -0.10828E+02      -0.62068E-01      -0.26091E+02
      0      1       0.26146E-01      -0.11263E-07       0.94409E-01       0.19290E+02      -0.33450E-02      -0.41546E+02
      0      1       0.11908E-02       0.17569E-07      -0.81812E-01      -0.88149E+01      -0.38064E-01       0.36357E+01
      0      1      -0.33263E-01       0.14479E-07       0.53430E-01       0.51024E+02       0.19192E-01       0.68383E+01
      0      1       0.25749E-01       0.29493E-08      -0.10462E+00      -0.70738E+01      -0.69371E-01       0.17829E+02
